feature,importance
vol_volatility_20,258
sma_cross_50_200,216
vol_volatility_10,197
low_50d_dist,196
flow_momentum_20,188
obv,187
ext_fgi_std_14,177
rsi_28,168
flow_momentum_10,158
high_21d_dist,155
vol_price_corr_10,148
low_21d_dist,147
sma_200,144
regime_trend_100,143
ext_fgi_ma30,139
buy_pressure_ma_20,139
return_1d,139
atr_21,138
atr_pct_21,138
price_vs_sma_200,137
trades_sma_20,134
bb_width_20,130
volatility_10d,129
return_3d,126
flow_momentum_5,126
vol_price_corr_20,126
ema_100,125
high_14d_dist,125
cvd_change_14,121
high_50d_dist,121
price_vs_sma_50,118
buy_pressure,117
atr_14,111
cvd_change_21,111
buy_pressure_ma_5,110
cvd_ma_21,105
atr_pct_14,103
low_14d_dist,100
qvol_sma_20,100
trades_sma_5,99
macd_hist,98
cvd_ma_7,97
buy_pressure_ma_10,95
avg_trade_size_sma_20,93
cvd_change_7,93
ext_fgi_change_14d,90
stablecoin_inflow_proxy,89
ext_fgi_price_divergence,88
stoch_k_14,87
funding_rate_24,84
volatility_5d,84
sma_50,83
vol_sma_50,81
return_21d,80
sma_cross_5_20,79
ext_fgi_change_7d,78
ext_fgi_ma14,77
vol_sma_10,74
bb_pctb_20,74
volatility_20d,74
open_interest_24,74
sma_100,73
avg_trade_size_ratio_5,73
flow_price_divergence_20,72
obv_sma_10,72
bb_upper_20,72
return_5d,69
avg_trade_size_sma_5,67
rsi_6,67
trades_sma_10,67
price_vs_vwap_10,66
avg_trade_size_ratio_20,66
cvd_ma_14,65
ema_10,65
open_interest_7,65
vol_sma_20,65
obv_sma_20,64
ext_fgi_ma7,64
flow_change_3d,63
ema_200,62
avg_trade_size,61
volume_density_sma_10,59
macd_signal,59
avg_trade_size_sma_10,58
ema_5,57
rsi_14,57
qvol_sma_5,56
vol_ratio_50,53
sma_5,51
sma_cross_10_50,50
stoch_d_14,49
vol_change_1d,49
ema_50,49
trades_ratio_5,49
open_interest_14,49
trades_change_5d,48
funding_rate_14,46
trades_change_1d,46
ext_fgi,46
ema_20,45
price_vs_vwap_20,44
volume_density,44
vol_sma_5,43
vol_change_3d,43
return_14d,43
trades_ratio_20,43
flow_change_10d,43
qvol_sma_10,42
cvd,42
avg_trade_size_ratio_10,42
bb_lower_20,40
regime_trend_50,40
vwap_20,38
price_vs_sma_20,38
flow_change_5d,38
macd,37
return_7d,36
vol_ratio_5,35
qvol_ratio_10,33
vol_change_5d,33
sma_20,32
flow_change_1d,32
qvol_ratio_20,32
regime_price_vs_ma200,31
volume_density_sma_5,31
sma_10,30
flow_price_divergence_10,28
qvol_ratio_5,27
vol_ratio_10,26
vol_ratio_20,25
trades_ratio_10,21
funding_rate_7,19
vwap_10,17
volume_density_ma_10,11
avg_trade_size_ma_20,11
avg_trade_size_ma_10,10
avg_trade_size_ma_5,9
volume_density_ma_5,6
regime_trend_200,5
regime_ma200_rise,5
ext_fgi_extreme_fear,2
regime_sideways,2
regime_ma200_fall,1
regime_vol_high,1
ext_fgi_extreme_greed,0
regime_bull,0
regime_bear,0
regime_vol_low,0
